,year,round,winner,loser,games
0,1903,ws,BOS,PIT,8
1,1905,ws,SFG,OAK,5
2,1906,ws,CHW,CHC,6
3,1907,ws,CHC,DET,5
4,1908,ws,CHC,DET,5
5,1909,ws,PIT,DET,7
6,1910,ws,OAK,CHC,5
7,1911,ws,OAK,SFG,6
8,1912,ws,BOS,SFG,8
9,1913,ws,OAK,SFG,5
10,1914,ws,ATL,OAK,4
11,1915,ws,BOS,PHI,5
12,1916,ws,BOS,LAD,5
13,1917,ws,CHW,SFG,6
14,1918,ws,BOS,CHC,6
15,1919,ws,CIN,CHW,8
16,1920,ws,CLE,LAD,7
17,1921,ws,SFG,NYY,8
18,1922,ws,SFG,NYY,5
19,1923,ws,NYY,SFG,6
20,1924,ws,MIN,SFG,7
21,1925,ws,PIT,MIN,7
22,1926,ws,STL,NYY,7
23,1927,ws,NYY,PIT,4
24,1928,ws,NYY,STL,4
25,1929,ws,OAK,CHC,5
26,1930,ws,OAK,STL,6
27,1931,ws,STL,OAK,7
28,1932,ws,NYY,CHC,4
29,1933,ws,SFG,MIN,5
30,1934,ws,STL,DET,7
31,1935,ws,DET,CHC,6
32,1936,ws,NYY,SFG,6
33,1937,ws,NYY,SFG,5
34,1938,ws,NYY,CHC,4
35,1939,ws,NYY,CIN,4
36,1940,ws,CIN,DET,7
37,1941,ws,NYY,LAD,5
38,1942,ws,STL,NYY,5
39,1943,ws,NYY,STL,5
40,1944,ws,STL,STL,6
41,1945,ws,DET,CHC,7
42,1946,ws,STL,BOS,7
43,1947,ws,NYY,LAD,7
44,1948,ws,CLE,ATL,6
45,1949,ws,NYY,LAD,5
46,1950,ws,NYY,PHI,4
47,1951,ws,NYY,SFG,6
48,1952,ws,NYY,LAD,7
49,1953,ws,NYY,LAD,6
50,1954,ws,SFG,CLE,4
51,1955,ws,LAD,NYY,7
52,1956,ws,NYY,LAD,7
53,1957,ws,ATL,NYY,7
54,1958,ws,NYY,ATL,7
55,1959,ws,LAD,CHW,6
56,1960,ws,PIT,NYY,7
57,1961,ws,NYY,CIN,5
58,1962,ws,NYY,SFG,7
59,1963,ws,LAD,NYY,4
60,1964,ws,STL,NYY,7
61,1965,ws,LAD,MIN,7
62,1966,ws,BAL,LAD,4
63,1967,ws,STL,BOS,7
64,1968,ws,DET,STL,7
65,1969,cs,NYM,ATL,3
66,1969,cs,BAL,MIN,3
67,1969,ws,NYM,BAL,5
68,1970,cs,CIN,PIT,3
69,1970,cs,BAL,MIN,3
70,1970,ws,BAL,CIN,5
71,1971,cs,PIT,SFG,4
72,1971,cs,BAL,OAK,3
73,1971,ws,PIT,BAL,7
74,1972,cs,CIN,PIT,5
75,1972,cs,OAK,DET,5
76,1972,ws,OAK,CIN,7
77,1973,cs,NYM,CIN,5
78,1973,cs,OAK,BAL,5
79,1973,ws,OAK,NYM,7
80,1974,cs,LAD,PIT,4
81,1974,cs,OAK,BAL,4
82,1974,ws,OAK,LAD,5
83,1975,cs,CIN,PIT,3
84,1975,cs,BOS,OAK,3
85,1975,ws,CIN,BOS,7
86,1976,cs,CIN,PHI,3
87,1976,cs,NYY,KCR,5
88,1976,ws,CIN,NYY,4
89,1977,cs,LAD,PHI,4
90,1977,cs,NYY,KCR,5
91,1977,ws,NYY,LAD,6
92,1978,cs,NYY,KCR,4
93,1978,cs,LAD,PHI,4
94,1978,ws,NYY,LAD,6
95,1979,cs,PIT,CIN,3
96,1979,cs,BAL,LAA,4
97,1979,ws,PIT,BAL,7
98,1980,cs,PHI,HOU,5
99,1980,cs,KCR,NYY,3
100,1980,ws,PHI,KCR,6
101,1981,ds,LAD,HOU,5
102,1981,ds,OAK,KCR,3
103,1981,ds,WSN,PHI,5
104,1981,ds,NYY,MIL,5
105,1981,cs,LAD,WSN,5
106,1981,cs,NYY,OAK,3
107,1981,ws,LAD,NYY,6
108,1982,cs,MIL,LAA,5
109,1982,cs,STL,ATL,3
110,1982,ws,STL,MIL,7
111,1983,cs,PHI,LAD,4
112,1983,cs,BAL,CHW,4
113,1983,ws,BAL,PHI,5
114,1984,cs,SDP,CHC,5
115,1984,cs,DET,KCR,3
116,1984,ws,DET,SDP,5
117,1985,cs,KCR,TOR,7
118,1985,cs,STL,LAD,6
119,1985,ws,KCR,STL,7
120,1986,cs,BOS,LAA,7
121,1986,cs,NYM,HOU,6
122,1986,ws,NYM,BOS,7
123,1987,cs,STL,SFG,7
124,1987,cs,MIN,DET,5
125,1987,ws,MIN,STL,7
126,1988,cs,LAD,NYM,7
127,1988,cs,OAK,BOS,4
128,1988,ws,LAD,OAK,5
129,1989,cs,OAK,TOR,5
130,1989,cs,SFG,CHC,5
131,1989,ws,OAK,SFG,4
132,1990,cs,CIN,PIT,6
133,1990,cs,OAK,BOS,4
134,1990,ws,CIN,OAK,4
135,1991,cs,MIN,TOR,5
136,1991,cs,ATL,PIT,7
137,1991,ws,MIN,ATL,7
138,1992,cs,ATL,PIT,7
139,1992,cs,TOR,OAK,6
140,1992,ws,TOR,ATL,6
141,1993,cs,TOR,CHW,6
142,1993,cs,PHI,ATL,6
143,1993,ws,TOR,PHI,6
144,1995,ds,ATL,COL,4
145,1995,ds,CIN,LAD,3
146,1995,ds,CLE,BOS,3
147,1995,ds,SEA,NYY,5
148,1995,cs,ATL,CIN,4
149,1995,cs,CLE,SEA,6
150,1995,ws,ATL,CLE,6
151,1996,ds,STL,SDP,3
152,1996,ds,NYY,TEX,4
153,1996,ds,BAL,CLE,4
154,1996,ds,ATL,LAD,3
155,1996,cs,ATL,STL,7
156,1996,cs,NYY,BAL,5
157,1996,ws,NYY,ATL,6
158,1997,ds,MIA,SFG,3
159,1997,ds,ATL,HOU,3
160,1997,ds,CLE,NYY,5
161,1997,ds,BAL,SEA,4
162,1997,cs,MIA,ATL,6
163,1997,cs,CLE,BAL,6
164,1997,ws,MIA,CLE,7
